vacancy-name,salary,link
"Программист PHP (Yii, Laravel, Symfony)",от 60 000 руб.,https://rostov.hh.ru/vacancy/28807775?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист,от 40 000 руб.,https://rostov.hh.ru/vacancy/20287261?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Разработчик React Native,от 70 000 руб.,https://rostov.hh.ru/vacancy/28893675?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Senior Java developer,от 2 000 USD,https://rostov.hh.ru/vacancy/28483252?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Консультант-разработчик (junior),20 500-80 000 руб.,https://career.ru/vacancy/27832923?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Веб-программист - ведущий разработчик проекта,от 75 000 руб.,https://rostov.hh.ru/vacancy/28674383?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Аналитик-разработчик по направлению банковские карты,,https://rostov.hh.ru/vacancy/28827701?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
PHP-программист,,https://rostov.hh.ru/vacancy/28293979?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
SQL Developer,до 50 000 руб.,https://rostov.hh.ru/vacancy/28465543?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Android разработчик,40 000-70 000 руб.,https://rostov.hh.ru/vacancy/28552350?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Разработчик MS SQL баз данных,,https://rostov.hh.ru/vacancy/28467786?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Разработчик/Программист 1 С,60 000-100 000 руб.,https://rostov.hh.ru/vacancy/28589882?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
HTML-Верстальщик (Веб-Программист),25 000-80 000 руб.,https://career.ru/vacancy/28984158?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Разработчик Angular / Angular developer,120 000-180 000 руб.,https://rostov.hh.ru/vacancy/28653907?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
FullStack разработчик,100 000-150 000 руб.,https://rostov.hh.ru/vacancy/28568615?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Backend-разработчик,от 60 000 руб.,https://rostov.hh.ru/vacancy/28999333?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Разработчик Oracle OEBS,,https://rostov.hh.ru/vacancy/28945992?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист 1C,от 80 000 руб.,https://rostov.hh.ru/vacancy/27124074?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист 1С,,https://rostov.hh.ru/vacancy/27307266?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Ведущий программист С# (Unity 3D),120 000-200 000 руб.,https://rostov.hh.ru/vacancy/25931766?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Frontend-разработчик (AngularJS / Angular),от 80 000 руб.,https://rostov.hh.ru/vacancy/28783569?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист 1 С,,https://rostov.hh.ru/vacancy/28047375?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист 1C,от 65 000 руб.,https://rostov.hh.ru/vacancy/28961499?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Ведущий программист 1С,от 75 000 руб.,https://rostov.hh.ru/vacancy/27734761?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Frontend-разработчик,от 60 000 руб.,https://rostov.hh.ru/vacancy/28999294?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Senior SQL Developer,,https://rostov.hh.ru/vacancy/28430021?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Android Developer,от 100 000 руб.,https://rostov.hh.ru/vacancy/28154993?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист С# (Unity 3D) /middle,50 000-70 000 руб.,https://rostov.hh.ru/vacancy/27059774?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Senior Front-end (React.JS) developer,,https://rostov.hh.ru/vacancy/28990803?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист 1С (стажер),16 000-25 000 руб.,https://career.ru/vacancy/27510336?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Инженер-программист,30 000-35 000 руб.,https://rostov.hh.ru/vacancy/28959434?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Web разработчик,,https://career.ru/vacancy/28623909?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
JavaScript/React Developer,100 000-100 000 руб.,https://rostov.hh.ru/vacancy/28174951?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Frontend-разработчик (ReactJS),от 80 000 руб.,https://rostov.hh.ru/vacancy/28783593?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист разработчик (Senior Java Developer),120 000-140 000 руб.,https://rostov.hh.ru/vacancy/28425823?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист разработчик (Middle Java Developer),80 000-100 000 руб.,https://rostov.hh.ru/vacancy/28425415?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист разработчик (Front-end Developer),80 000-100 000 руб.,https://career.ru/vacancy/28426359?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист 1С,,https://rostov.hh.ru/vacancy/28934767?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист разработчик (Senior Front-end Developer),120 000-140 000 руб.,https://rostov.hh.ru/vacancy/28426504?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Ведущий инженер-программист,55 000-60 000 руб.,https://rostov.hh.ru/vacancy/28959760?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
.net разработчик,до 100 000 руб.,https://career.ru/vacancy/26299101?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Junior ETL-developer,,https://career.ru/vacancy/27521348?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Инженер-программист ПЛИС 1 категории,45 000-55 000 руб.,https://rostov.hh.ru/vacancy/28959676?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Инженер-программист ПЛИС 2 категории,35 000-45 000 руб.,https://rostov.hh.ru/vacancy/28959571?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист,от 50 000 руб.,https://rostov.hh.ru/vacancy/28917248?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Конструктор-разработчик РЭА,,https://rostov.hh.ru/vacancy/28987934?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Разработчик Unity,,https://rostov.hh.ru/vacancy/28030503?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Инженер-программист 1 C ЗУП,,https://rostov.hh.ru/vacancy/28937582?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Web-разработчик,от 45 000 руб.,https://rostov.hh.ru/vacancy/28965950?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Инженер-программист ПЛИС,25 000-35 000 руб.,https://rostov.hh.ru/vacancy/28955066?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Web-разработчик,от 50 000 руб.,https://rostov.hh.ru/vacancy/28959622?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Java Developer,,https://rostov.hh.ru/vacancy/28976463?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Web - разработчик,от 20 000 руб.,https://career.ru/vacancy/28665187?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
IOS разработчик,,https://career.ru/vacancy/26447062?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
